x,y,temperature,percent_im,geometry,distance,lon,lat,miles
-122.14743717948718,37.39706756410256,94.59630572556125,0.01,"c(-122.147437179487, 37.3970675641026)",4265.342988926342,-122.125982,37.4314785,2.6509278986490625
-122.14465303418804,37.39706756410256,93.62774269197325,0.83,"c(-122.144653034188, 37.3970675641026)",4161.445776952788,-122.125982,37.4314785,2.586355361686009
-122.1418688888889,37.39706756410256,93.23608478214373,0.83,"c(-122.141868888889, 37.3970675641026)",4069.8410853385863,-122.125982,37.4314785,2.529422675785324
-122.13908474358975,37.39706756410256,93.54398867921736,0.83,"c(-122.13908474359, 37.3970675641026)",3991.375368217198,-122.125982,37.4314785,2.48065591561044
-122.15022132478633,37.39939179487178,94.24393408960168,0.01,"c(-122.150221324786, 37.3993917948718)",4157.673164906673,-122.125982,37.4314785,2.58401066805884
-122.14743717948718,37.39939179487178,93.1796894521467,0.01,"c(-122.147437179487, 37.3993917948718)",4035.9957533021075,-122.125982,37.4314785,2.5083876651970836
-122.14465303418804,37.39939179487178,92.46257460769357,0.83,"c(-122.144653034188, 37.3993917948718)",3926.037303138351,-122.125982,37.4314785,2.4400480442127725
-122.1418688888889,37.39939179487178,93.174128820232,0.83,"c(-122.141868888889, 37.3993917948718)",3828.807608357666,-122.125982,37.4314785,2.3796193961203644
-122.13908474358975,37.39939179487178,94.05041423605144,0.83,"c(-122.13908474359, 37.3993917948718)",3745.2981336451476,-122.125982,37.4314785,2.3277179202269407
-122.1363005982906,37.39939179487178,94.50832828037164,0.8,"c(-122.136300598291, 37.3993917948718)",3676.443951754678,-122.125982,37.4314785,2.2849247680265243
-122.13351645299146,37.39939179487178,95.9686844337266,0.67,"c(-122.133516452991, 37.3993917948718)",3623.080700699874,-122.125982,37.4314785,2.251759291920369
-122.15022132478633,37.401716025641015,92.75523839430662,0.01,"c(-122.150221324786, 37.401716025641)",3938.9601646126484,-122.125982,37.4314785,2.448079654824517
-122.14743717948718,37.401716025641015,92.73469579392167,0.83,"c(-122.147437179487, 37.401716025641)",3810.3088523701917,-122.125982,37.4314785,2.3681223445433135
-122.14465303418804,37.401716025641015,93.39394107635326,0.83,"c(-122.144653034188, 37.401716025641)",3693.6415337708036,-122.125982,37.4314785,2.29561313472393
-122.1418688888889,37.401716025641015,94.35048939365515,0.83,"c(-122.141868888889, 37.401716025641)",3590.1267202998106,-122.125982,37.4314785,2.231278259975022
-122.13908474358975,37.401716025641015,94.67815311709273,0.83,"c(-122.13908474359, 37.401716025641)",3500.9312781814065,-122.125982,37.4314785,2.1758429323688047
-122.1363005982906,37.401716025641015,94.28457999201419,0.91,"c(-122.136300598291, 37.401716025641)",3427.1734156254092,-122.125982,37.4314785,2.1300021228249904
-122.13351645299146,37.401716025641015,94.88006232310727,0.67,"c(-122.133516452991, 37.401716025641)",3369.866953888206,-122.125982,37.4314785,2.0943859253500348
-122.13073230769231,37.401716025641015,94.08274712176353,0.47,"c(-122.130732307692, 37.401716025641)",3329.861380493435,-122.125982,37.4314785,2.0695222998716187
-122.12794816239317,37.401716025641015,94.21613184694434,0.82,"c(-122.127948162393, 37.401716025641)",3307.7844851491436,-122.125982,37.4314785,2.0558014202294244
-122.15022132478633,37.40404025641025,93.38978070101712,0.83,"c(-122.150221324786, 37.4040402564102)",3725.271706750044,-122.125982,37.4314785,2.3152714150093496
-122.14743717948718,37.40404025641025,93.93252432219742,0.83,"c(-122.147437179487, 37.4040402564102)",3588.9728976146116,-122.125982,37.4314785,2.2305611545149855
-122.14465303418804,37.40404025641025,94.57762598313275,0.8,"c(-122.144653034188, 37.4040402564102)",3464.8647498744454,-122.125982,37.4314785,2.1534274393253234
-122.1418688888889,37.40404025641025,94.84797795381382,0.83,"c(-122.141868888889, 37.4040402564102)",3354.300689443125,-122.125982,37.4314785,2.0847114291131916
-122.13908474358975,37.40404025641025,94.45440482873528,0.83,"c(-122.13908474359, 37.4040402564102)",3258.6596326263343,-122.125982,37.4314785,2.025270125933085
-122.1363005982906,37.40404025641025,94.06083170365673,0.67,"c(-122.136300598291, 37.4040402564102)",3179.28863014866,-122.125982,37.4314785,1.9759407272521194
-122.13351645299146,37.40404025641025,94.16413170594024,0.67,"c(-122.133516452991, 37.4040402564102)",3117.4306557010664,-122.125982,37.4314785,1.9374957462405633
-122.13073230769231,37.40404025641025,93.92315582404262,0.47,"c(-122.130732307692, 37.4040402564102)",3074.1430837848993,-122.125982,37.4314785,1.9105923454225602
