x,y,temperature,percent_im,geometry,distance,lon,lat,miles
-122.14612152542374,37.39591028248587,54.92819073666397,0.83,"c(-122.146121525424, 37.3959102824859)",4331.499508333136,-122.125982,37.4314785,2.6920444427179215
-122.14428206214691,37.39591028248587,55.51503524702639,0.91,"c(-122.144282062147, 37.3959102824859)",4267.053343302508,-122.125982,37.4314785,2.651990890803299
-122.14244259887008,37.39591028248587,55.62794043331451,0.83,"c(-122.14244259887, 37.3959102824859)",4207.925350449328,-122.125982,37.4314785,2.615242604381186
-122.14060313559324,37.39591028248586,55.5744090777589,0.1,"c(-122.140603135593, 37.3959102824859)",4154.3426137013175,-122.125982,37.4314785,2.5819407170300295
-122.1498004519774,37.3974522316384,54.89314272550473,0.01,"c(-122.149800451977, 37.3974522316384)",4325.20065210394,-122.125982,37.4314785,2.688129678125507
-122.14796098870058,37.3974522316384,55.29684373049895,0.01,"c(-122.147960988701, 37.3974522316384)",4248.194899164689,-122.125982,37.4314785,2.640270291587749
-122.14612152542374,37.3974522316384,55.883688240861375,0.83,"c(-122.146121525424, 37.3974522316384)",4176.121802687678,-122.125982,37.4314785,2.595476570968103
-122.14428206214691,37.3974522316384,56.56746904773172,0.83,"c(-122.144282062147, 37.3974522316384)",4109.240916518567,-122.125982,37.4314785,2.553909830030185
-122.14244259887008,37.3974522316384,56.467120062843605,0.83,"c(-122.14244259887, 37.3974522316384)",4047.809617409667,-122.125982,37.4314785,2.5157300294652996
-122.14060313559324,37.3974522316384,56.43474704475375,0.83,"c(-122.140603135593, 37.3974522316384)",3992.07949288572,-122.125982,37.4314785,2.4810935319364327
-122.1387636723164,37.3974522316384,56.240544929554744,0.83,"c(-122.138763672316, 37.3974522316384)",3942.2923339448375,-122.125982,37.4314785,2.4501506115256912
-122.13692420903956,37.3974522316384,55.88837468696147,0.47,"c(-122.13692420904, 37.3974522316384)",3898.675827160496,-122.125982,37.4314785,2.4230427763582947
-122.15163991525422,37.39899418079095,55.08084879470971,0.01,"c(-122.151639915254, 37.398994180791)",4261.1305210934415,-122.125982,37.4314785,2.648309832873488
-122.1498004519774,37.39899418079094,55.66549672432666,0.01,"c(-122.149800451977, 37.3989941807909)",4176.603041347051,-122.125982,37.4314785,2.595775662739
-122.14796098870058,37.39899418079094,56.25234123469636,0.01,"c(-122.147960988701, 37.3989941807909)",4096.806770447954,-122.125982,37.4314785,2.5461819580161302
-122.14612152542374,37.39899418079094,56.839185745058785,0.83,"c(-122.146121525424, 37.3989941807909)",4022.02331746846,-122.125982,37.4314785,2.499703739880957
-122.14428206214691,37.39899418079094,57.68244746910205,0.83,"c(-122.144282062147, 37.3989941807909)",3952.537225738259,-122.125982,37.4314785,2.456517853162374
-122.14244259887008,37.39899418079094,57.65251444137539,0.83,"c(-122.14244259887, 37.3989941807909)",3888.6324817775826,-122.125982,37.4314785,2.416800796629946
-122.14060313559324,37.39899418079094,56.86612090129347,0.83,"c(-122.140603135593, 37.3989941807909)",3830.5884324647454,-122.125982,37.4314785,2.380726185497045
-122.1387636723164,37.39899418079094,56.69544551918443,0.83,"c(-122.138763672316, 37.3989941807909)",3778.675165028638,-122.125982,37.4314785,2.3484618800675188
-122.13692420903956,37.39899418079095,56.15708929257198,0.83,"c(-122.13692420904, 37.398994180791)",3733.148452726705,-122.125982,37.4314785,2.320166844454136
