x,y,temperature,percent_im,geometry,distance,lon,lat,miles
-122.14244259887006,37.40516197740112,56.58674576359226,0.83,"c(-122.14244259887, 37.4051619774011)",3264.0453998327016,-122.125982,37.4314785,2.028617402009137
-122.14060313559322,37.40516197740112,56.46236105864227,0.83,"c(-122.140603135593, 37.4051619774011)",3194.6790546938364,-122.125982,37.4314785,1.9855059382808182
-122.13876367231639,37.40516197740112,56.337976353690465,0.83,"c(-122.138763672316, 37.4051619774011)",3132.2491772936937,-122.125982,37.4314785,1.946705517273893
-122.13692420903955,37.40516197740112,56.213591648740476,0.67,"c(-122.13692420904, 37.4051619774011)",3077.177978409236,-122.125982,37.4314785,1.9124785446918806
-122.13508474576273,37.40516197740112,56.23813301509654,0.67,"c(-122.135084745763, 37.4051619774011)",3029.8667411414312,-122.125982,37.4314785,1.883074419603127
-122.13324528248589,37.40516197740112,56.669716662421706,0.47,"c(-122.133245282486, 37.4051619774011)",2990.6837652235904,-122.125982,37.4314785,1.858722041779733
-122.13140581920905,37.40516197740112,56.91589531573845,0.47,"c(-122.131405819209, 37.4051619774011)",2959.951866902662,-122.125982,37.4314785,1.8396220428232828
-122.12956635593221,37.40516197740112,57.36219363644341,0.47,"c(-122.129566355932, 37.4051619774011)",2937.936262340435,-122.125982,37.4314785,1.825939255649742
-122.12772689265537,37.40516197740112,57.797924797967426,0.47,"c(-122.127726892655, 37.4051619774011)",2924.8337842011993,-122.125982,37.4314785,1.817796012555127
-122.12588742937854,37.40516197740112,57.90524744732829,0.47,"c(-122.125887429379, 37.4051619774011)",2920.764387159496,-122.125982,37.4314785,1.8152668658542548
-122.1240479661017,37.40516197740112,58.258198706920666,0.47,"c(-122.124047966102, 37.4051619774011)",2925.7657633302297,-122.125982,37.4314785,1.8183752413488066
-122.12220850282488,37.40516197740112,58.25531528278225,0.83,"c(-122.122208502825, 37.4051619774011)",2939.7916175986898,-122.125982,37.4314785,1.8270923664379675
-122.15531884180791,37.40670392655367,58.05238597571224,0.83,"c(-122.155318841808, 37.4067039265537)",3781.744833585274,-122.1260148,37.4314986,2.3503696914762426
-122.15347937853107,37.40670392655367,57.10530804861128,0.83,"c(-122.153479378531, 37.4067039265537)",3671.9663878561582,-122.1260148,37.4314986,2.282141943975238
-122.15163991525424,37.40670392655367,57.11407045519354,0.83,"c(-122.151639915254, 37.4067039265537)",3566.2456412678152,-122.1260148,37.4314986,2.216436072882421
-122.1498004519774,37.40670392655367,57.122832861775805,0.83,"c(-122.149800451977, 37.4067039265537)",3464.948774717626,-122.125982,37.4314785,2.1534796611048015
-122.14796098870056,37.40670392655367,57.13159526835807,0.83,"c(-122.147960988701, 37.4067039265537)",3368.3453520948833,-122.125982,37.4314785,2.093440243688554
-122.14612152542374,37.40670392655367,56.80910061446775,0.83,"c(-122.146121525424, 37.4067039265537)",3276.9892399351147,-122.125982,37.4314785,2.0366620509230047
-122.1442820621469,37.40670392655367,56.69498022175503,0.83,"c(-122.144282062147, 37.4067039265537)",3191.3311038913976,-122.125982,37.4314785,1.9834251733321302
-122.14244259887006,37.40670392655367,56.600871352633476,0.83,"c(-122.14244259887, 37.4067039265537)",3111.841515762499,-122.125982,37.4314785,1.934022073189869
-122.14060313559322,37.40670392655367,56.47648664768349,0.83,"c(-122.140603135593, 37.4067039265537)",3039.004556187136,-122.125982,37.4314785,1.8887536085687608
-122.13876367231639,37.40670392655367,56.35210194273168,0.83,"c(-122.138763672316, 37.4067039265537)",2973.3091724101096,-122.125982,37.4314785,1.847923662156687
-122.13692420903955,37.40670392655367,56.22771723778169,0.67,"c(-122.13692420904, 37.4067039265537)",2915.2382142822134,-122.125982,37.4314785,1.8118323270865218
-122.13508474576273,37.40670392655367,56.13793044441377,0.47,"c(-122.135084745763, 37.4067039265537)",2865.2552986581245,-122.125982,37.4314785,1.7807677431063547
-122.13324528248589,37.40670392655367,56.59050246325205,0.47,"c(-122.133245282486, 37.4067039265537)",2823.7899490333857,-122.125982,37.4314785,1.7549968608038444
