"","x","y","temperature"
"1",-122.147395,37.396701025641,55.0119124757584
"2",-122.144612222222,37.396701025641,55.8997028888771
"3",-122.141829444444,37.396701025641,56.0275440550049
"4",-122.139046666667,37.396701025641,55.8018384776806
"5",-122.152960555556,37.3990337179487,54.9638717140879
"6",-122.150177777778,37.3990337179487,55.5696182869397
"7",-122.147395,37.3990337179487,56.4574087000583
"8",-122.144612222222,37.3990337179487,57.8204261990613
"9",-122.141829444444,37.3990337179487,57.4068060702411
"10",-122.139046666667,37.3990337179487,56.6571746273148
"11",-122.136263888889,37.3990337179487,56.1128004966158
"12",-122.133481111111,37.3990337179487,56.4430205238314
"13",-122.158526111111,37.4013664102564,54.6997515716685
"14",-122.155743333333,37.4013664102564,55.2395336850041
"15",-122.152960555556,37.4013664102564,56.1273240981209
"16",-122.150177777778,37.4013664102564,57.0151145112359
"17",-122.147395,37.4013664102564,57.9029049243545
"18",-122.144612222222,37.4013664102564,58.3875311234005
"19",-122.141829444444,37.4013664102564,57.1202270907597
"20",-122.139046666667,37.4013664102564,56.3223417106055
"21",-122.136263888889,37.4013664102564,56.134169977473
"22",-122.133481111111,37.4013664102564,56.9324729601212
"23",-122.130698333333,37.4013664102564,56.8668436160388
"24",-122.127915555556,37.4013664102564,57.1508713391231
"25",-122.164091666667,37.4036991025641,54.4356314292563
"26",-122.161308888889,37.4036991025641,55.2847138605478
"27",-122.158526111111,37.4036991025641,55.7972394961853
"28",-122.155743333333,37.4036991025641,56.6850299093039
"29",-122.152960555556,37.4036991025641,57.5728203224207
"30",-122.150177777778,37.4036991025641,58.2268463640139
"31",-122.147395,37.4036991025641,57.6550151970041
"32",-122.144612222222,37.4036991025641,57.2284392197034
"33",-122.141829444444,37.4036991025641,56.5318829245953
"34",-122.139046666667,37.4036991025641,56.3437111914627
"35",-122.136263888889,37.4036991025641,56.155539458332
"36",-122.133481111111,37.4036991025641,56.8644804763171
"37",-122.130698333333,37.4036991025641,56.8558995095773
"38",-122.127915555556,37.4036991025641,57.9497315680201
"39",-122.125132777778,37.4036991025641,57.6520510929222
"40",-122.12235,37.4036991025641,57.8587221544221
"41",-122.166874444444,37.4060317948718,55.3051897227269
"42",-122.164091666667,37.4060317948718,55.5017211853078
"43",-122.161308888889,37.4060317948718,56.3549453073665
"44",-122.158526111111,37.4060317948718,57.2427357204815
"45",-122.155743333333,37.4060317948718,58.0240423495825
"46",-122.152960555556,37.4060317948718,57.5875995688475
"47",-122.150177777778,37.4060317948718,57.1329248263876
"48",-122.147395,37.4060317948718,56.8766846448998
"49",-122.144612222222,37.4060317948718,56.7139387331918
"50",-122.141829444444,37.4060317948718,56.5532524054543
"51",-122.139046666667,37.4060317948718,56.3650806723217
"52",-122.136263888889,37.4060317948718,56.176908939191
"53",-122.133481111111,37.4060317948718,56.6466097778903
"54",-122.130698333333,37.4060317948718,57.1396831166603
"55",-122.127915555556,37.4060317948718,57.6870072793463
"56",-122.125132777778,37.4060317948718,57.9021521399882
"57",-122.12235,37.4060317948718,58.2458996332789
"58",-122.119567222222,37.4060317948718,58.4833829985728
"59",-122.116784444444,37.4060317948718,58.3602976907146
"60",-122.17244,37.4083644871795,55.0410695803184
"61",-122.169657222222,37.4083644871795,55.5583118150004
"62",-122.166874444444,37.4083644871795,56.0248607054309
"63",-122.164091666667,37.4083644871795,56.9126511185477
"64",-122.161308888889,37.4083644871795,57.8004415316664
"65",-122.158526111111,37.4083644871795,57.5201839406836
"66",-122.155743333333,37.4083644871795,57.0651499735961
"67",-122.152960555556,37.4083644871795,57.0784059220134
"68",-122.150177777778,37.4083644871795,57.0916618704305
"69",-122.147395,37.4083644871795,56.8640327761568
"70",-122.144612222222,37.4083644871795,57.1622161618034
"71",-122.141829444444,37.4083644871795,56.4191328792949
"72",-122.139046666667,37.4083644871795,56.3864501531807
"73",-122.136263888889,37.4083644871795,56.19827842005
"74",-122.133481111111,37.4083644871795,56.5983787829136
"75",-122.130698333333,37.4083644871795,56.9060867685002
